query,length,keyword_count,special_character_count,contains_sensitive_column,is_select_star,label
SELECT COUNT(*) FROM mtrgzimmdo WHERE kmcmgx > 10;,50,1,3,0,0,0
"SELECT mxfkef, AVG(axxock) FROM kzjkjfccge GROUP BY mxfkef;",59,1,3,0,0,0
"SELECT fomchj, vmggja FROM haxhtklgzy WHERE fomchj='value';",59,1,4,0,0,0
SELECT * FROM czvjxczwvt WHERE lscdsa='admin' OR 1=1;,53,2,5,0,1,1
DELETE FROM gupboqqwgp WHERE xczgny=10 OR 1=1;,46,2,3,0,0,1
DROP TABLE gcmgxncbsx;,22,1,1,0,0,1
SELECT vczoxd FROM owdpmcgvrx WHERE iyhkyd='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DELETE FROM kvfkhyqvuo WHERE rvupvl=10 OR 1=1;,46,2,3,0,0,1
"SELECT fezzbk, AVG(tbjamb) FROM usrxztfmkt GROUP BY fezzbk;",59,1,3,0,0,0
DELETE FROM exrpirqjye WHERE xfgjnl=10 OR 1=1;,46,2,3,0,0,1
UPDATE rbpchnzmey SET ihzdnr='hacked' WHERE mbnqul='admin';,59,1,7,0,0,1
"SELECT jreenm, vykklq FROM audqmwqrgl WHERE jreenm='value';",59,1,4,0,0,0
"SELECT sobzwv, AVG(hhrpgz) FROM brrohlatoq GROUP BY sobzwv;",59,1,3,0,0,0
"SELECT rmxwgd, oarbwx FROM tthpisjecw WHERE rmxwgd='value';",59,1,4,0,0,0
DELETE FROM bepsmurxnd WHERE dzhsoe=10 OR 1=1;,46,2,3,0,0,1
SELECT zhpybf FROM eyfjidxogh WHERE timwzl LIKE 'test%';,56,1,3,1,0,0
UPDATE kiyrpzgbrs SET xdddfy='hacked' WHERE umtocu='admin';,59,1,7,0,0,1
"SELECT cjcqqt, xdmmci FROM awpcmbrmwf WHERE cjcqqt='value';",59,1,4,0,0,0
SELECT * FROM qctaasstsg WHERE acnpds='admin' OR 1=1;,53,2,5,0,1,1
UPDATE pexepgogar SET fjulkk='hacked' WHERE zxwlqg='admin';,59,1,7,0,0,1
SELECT fvoghm FROM opqzsnoowr WHERE ndpdmd LIKE 'test%';,56,1,3,0,0,0
SELECT COUNT(*) FROM zcslujitjr WHERE urqumu > 10;,50,1,3,0,0,0
SELECT * FROM rjkdlddxdc WHERE vphfzk='admin' OR 1=1;,53,2,5,0,1,1
UPDATE lctbwyajul SET mxcmau='hacked' WHERE amnhng='admin';,59,1,7,0,0,1
SELECT dtsggv FROM tiynvtyyvz WHERE yclnst LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM oumatxbnrk WHERE sqaniu='admin' OR 1=1;,53,2,5,0,1,1
SELECT zovzpg FROM qwsunnunrk WHERE ugvkml='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT ldokgc FROM xdrmdpdagr WHERE qilyct='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT ibmypj FROM qmjorenvby WHERE ebstgm='hacker@xyz.com' OR 'a'='a';,71,3,9,0,0,1
DELETE FROM wsvxitrikx WHERE gdrxix=10 OR 1=1;,46,2,3,0,0,1
SELECT spxrjl FROM xwwsgoahje WHERE kowugt='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
"SELECT buzybd, adikxi FROM ekkgmnibdw WHERE buzybd='value';",59,1,4,0,0,0
UPDATE mbhuzcjbsf SET jwaexh='hacked' WHERE qcmnkk='admin';,59,1,7,0,0,1
DROP TABLE nekvpvfbpb;,22,1,1,0,0,1
SELECT COUNT(*) FROM msefaowegr WHERE wqmiya > 10;,50,1,3,0,0,0
SELECT * FROM ozxcfvykss WHERE qgcrgj BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT tarwgd, doglhe FROM mxzlgqxiaa WHERE tarwgd='value';",59,1,4,0,0,0
"SELECT klcpfi, javyzi FROM ndxiiycgza WHERE klcpfi='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
"SELECT rqbxdh, oelgyb FROM dsetavlaen WHERE rqbxdh='value';",59,1,4,0,0,0
DROP TABLE fxwoqtskby;,22,1,1,0,0,1
SELECT cbpvmh FROM ojvdyvtmws WHERE uwywdb LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM cnticdzsgj WHERE jlnakk='admin' OR 1=1;,53,2,5,0,1,1
DELETE FROM egydjilbph WHERE hbfucy=10 OR 1=1;,46,2,3,0,0,1
SELECT COUNT(*) FROM kutgmzcdjt WHERE uqqflh > 10;,50,1,3,0,0,0
SELECT COUNT(*) FROM iibjkvmyrl WHERE qzyjhd > 10;,50,1,3,0,0,0
SELECT * FROM nkqfnswfgs WHERE kaddwh='admin' OR 1=1;,53,2,5,0,1,1
"SELECT eswjjw, tjyftn FROM ybhuytcmsi WHERE eswjjw='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
"SELECT civgbp, rzsnlq FROM gnawibhhmx WHERE civgbp='value';",59,1,4,0,0,0
SELECT * FROM ajnoceitct WHERE hvujrp='admin' OR 1=1;,53,2,5,0,1,1
SELECT COUNT(*) FROM davsaflxuy WHERE tvjcjf > 10;,50,1,3,0,0,0
SELECT jytcep FROM jjogvuuetf WHERE egynmp LIKE 'test%';,56,1,3,0,0,0
SELECT amgvnx FROM ylanihegeg WHERE rdhizg LIKE 'test%';,56,1,3,0,0,0
SELECT aelrct FROM ccctnryhhn WHERE qdmynq LIKE 'test%';,56,1,3,0,0,0
"SELECT rnxfsg, nlnmqt FROM moajurmemn WHERE rnxfsg='value';",59,1,4,0,0,0
"SELECT dagsml, idvgkv FROM gnpsjcsyfg WHERE dagsml='value';",59,1,4,1,0,0
SELECT * FROM fgkkmqglxx WHERE ffoozo BETWEEN 100 AND 500;,58,2,1,0,1,0
DELETE FROM qeigfftrqw WHERE szmnnx=10 OR 1=1;,46,2,3,0,0,1
SELECT COUNT(*) FROM jgwswqmbgo WHERE bhhxxv > 10;,50,1,3,0,0,0
DROP TABLE cokvbqoigl;,22,1,1,0,0,1
DROP TABLE txmoysaywn;,22,1,1,0,0,1
SELECT artxak FROM ycxikqoexf WHERE sjdpxf='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DELETE FROM hqjlxxpxxb WHERE jutaht=10 OR 1=1;,46,2,3,0,0,1
"SELECT ftuffa, fdttez FROM pnkpoqpoke WHERE ftuffa='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT * FROM hcuugykutl WHERE ehwvpk BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT COUNT(*) FROM mcnahfwclt WHERE ciosce > 10;,50,1,3,0,0,0
UPDATE yhzawkcozh SET prfbdc='hacked' WHERE ctmsbh='admin';,59,1,7,0,0,1
UPDATE emjwwqrohg SET tvwtto='hacked' WHERE pifcif='admin';,59,1,7,0,0,1
"SELECT bdjpod, AVG(kxkqef) FROM zniobiggir GROUP BY bdjpod;",59,1,3,0,0,0
SELECT tqepay FROM lbaxrkwpnp WHERE hszwdw LIKE 'test%';,56,1,3,0,0,0
SELECT kozztq FROM mgiybyxent WHERE qypysa LIKE 'test%';,56,1,3,0,0,0
DROP TABLE pribmwzmst;,22,1,1,0,0,1
SELECT COUNT(*) FROM mvnawmcseb WHERE stgiyj > 10;,50,1,3,0,0,0
DROP TABLE emzguamngk;,22,1,1,0,0,1
SELECT COUNT(*) FROM zztdanwktm WHERE mzbgdv > 10;,50,1,3,0,0,0
SELECT COUNT(*) FROM aqawesvmoo WHERE vtuxfl > 10;,50,1,3,0,0,0
DROP TABLE japrzskfkv;,22,1,1,0,0,1
SELECT * FROM nvlpkicryb WHERE rvhxrx BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT hspwbb, hgcrpt FROM omxombyuty WHERE hspwbb='value';",59,1,4,0,0,0
DELETE FROM lwrwdvapua WHERE hdkjya=10 OR 1=1;,46,2,3,0,0,1
"SELECT bmrvtq, fkttoe FROM cjmtrhrjed WHERE bmrvtq='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT * FROM xkmvmdlver WHERE myxtyd='admin' OR 1=1;,53,2,5,0,1,1
SELECT * FROM epyylxbtes WHERE jnhfxg BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT gsvfxu, uxjobx FROM xmgklxclav WHERE gsvfxu='value';",59,1,4,0,0,0
SELECT mgnhgf FROM obwowxkdln WHERE kdoqky='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
UPDATE tcqrohjbes SET qkydpz='hacked' WHERE qajbrm='admin';,59,1,7,0,0,1
SELECT * FROM ekregikuth WHERE lkujkt BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT yntexm, AVG(ykyxtg) FROM wuwnvswlgx GROUP BY yntexm;",59,1,3,0,0,0
SELECT * FROM dbqplmbnqn WHERE rhfvka BETWEEN 100 AND 500;,58,2,1,0,1,0
DELETE FROM dthsilreum WHERE xjmlke=10 OR 1=1;,46,2,3,0,0,1
UPDATE ojitnekbbk SET bgsrzk='hacked' WHERE hzgste='admin';,59,1,7,0,0,1
SELECT tizpjd FROM yqlyygoztq WHERE ewfyck LIKE 'test%';,56,1,3,0,0,0
"SELECT feftto, qhnqhe FROM oibjiogjdt WHERE feftto='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
DROP TABLE zsfqcwkzwu;,22,1,1,0,0,1
UPDATE liufqbdhev SET omyylg='hacked' WHERE qphnmy='admin';,59,1,7,0,0,1
SELECT COUNT(*) FROM riswtotlmi WHERE xazeyj > 10;,50,1,3,0,0,0
SELECT dbmdjw FROM tuccyzrxhg WHERE todxfn='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT * FROM bvmexfyzil WHERE xavpoi BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT qolthx FROM gjalqdqemw WHERE iwqvhn='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
"SELECT vndiba, AVG(hwjobx) FROM dquljhelgu GROUP BY vndiba;",59,1,3,0,0,0
"SELECT vjpsdo, AVG(nlcshr) FROM heohlpavhw GROUP BY vjpsdo;",59,1,3,0,0,0
SELECT * FROM zzrypivior WHERE hadduj='admin' OR 1=1;,53,3,5,0,1,1
SELECT COUNT(*) FROM ltousasyef WHERE bsnmmd > 10;,50,1,3,0,0,0
DROP TABLE pkdtszlzso;,22,1,1,0,0,1
"SELECT septnx, AVG(leaebd) FROM vfdluglzse GROUP BY septnx;",59,1,3,0,0,0
SELECT COUNT(*) FROM vddzybtyuy WHERE kktzfp > 10;,50,1,3,0,0,0
UPDATE kapkaxlcsh SET tvkfaw='hacked' WHERE vjhwdy='admin';,59,1,7,0,0,1
"SELECT jwrmvm, AVG(fwngog) FROM tkqzqsaudk GROUP BY jwrmvm;",59,1,3,0,0,0
SELECT COUNT(*) FROM dyxhybuacc WHERE ciqplm > 10;,50,1,3,0,0,0
"SELECT gsbnfq, xgbwvk FROM qbmjhyydes WHERE gsbnfq='value';",59,1,4,0,0,0
SELECT uwgvqo FROM sqyqnufcju WHERE rlkmdh='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT COUNT(*) FROM njgccqnykw WHERE fepvhj > 10;,50,1,3,0,0,0
SELECT qgukns FROM qxzhwvvlvq WHERE yqtuac='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DROP TABLE vctijwpsmd;,22,1,1,0,0,1
DELETE FROM sghzptdxsx WHERE tmiuev=10 OR 1=1;,46,2,3,0,0,1
"SELECT cdfddx, bhgwvu FROM lojcyvpfyu WHERE cdfddx='value';",59,1,4,0,0,0
SELECT * FROM hclmjdhkly WHERE gdexju BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT rfryqq FROM pjeloxnttq WHERE gupxcy LIKE 'test%';,56,1,3,0,0,0
"SELECT rqtbds, AVG(ylfjda) FROM kawlkctgss GROUP BY rqtbds;",59,1,3,0,0,0
DELETE FROM mbfpsvxlac WHERE qkpnud=10 OR 1=1;,46,2,3,0,0,1
SELECT * FROM encdrlnvon WHERE etiezc BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT vfswip, vblhah FROM gxbcqfwvdc WHERE vfswip='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
DELETE FROM kbrwkcqvgl WHERE ygjngn=10 OR 1=1;,46,2,3,0,0,1
"SELECT anofwx, afgdtu FROM fwnxrsgfae WHERE anofwx='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
"SELECT ikhfxj, dsorfx FROM wdkkhlgzfv WHERE ikhfxj='' UNION SELECT username, password FROM users;",97,5,4,1,0,1
SELECT * FROM vqsdnpusjr WHERE wdtfmc='admin' OR 1=1;,53,2,5,0,1,1
SELECT lpjwic FROM fxhhchzlym WHERE kgvpln='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
UPDATE cgphmjlave SET yxawnl='hacked' WHERE bruioo='admin';,59,1,7,0,0,1
DROP TABLE pkwdttimeg;,22,1,1,0,0,1
DELETE FROM hctmphshpv WHERE efkooq=10 OR 1=1;,46,2,3,0,0,1
SELECT jkjuhw FROM mtirjkjqxt WHERE nshbha='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
UPDATE pxnkniklku SET nvybch='hacked' WHERE okjanq='admin';,59,1,7,0,0,1
SELECT * FROM zjyhbubgfh WHERE obkqdt='admin' OR 1=1;,53,2,5,0,1,1
SELECT COUNT(*) FROM oagjkzmxwb WHERE ualqqz > 10;,50,1,3,0,0,0
"SELECT zqqjyx, AVG(bhtsad) FROM ahgwdrnqba GROUP BY zqqjyx;",59,1,3,0,0,0
SELECT etxfsc FROM yfkfoqginq WHERE tqpivx LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM ezneaptdsw WHERE qdyslw BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT yabngm FROM ammazvrstu WHERE cxefpk LIKE 'test%';,56,1,3,0,0,0
DROP TABLE wmqtcsyynn;,22,1,1,0,0,1
SELECT * FROM vdjqwhqzpa WHERE qqocsz='admin' OR 1=1;,53,2,5,0,1,1
"SELECT nvefio, laoysk FROM ygadbdirtb WHERE nvefio='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT * FROM pmnulrplny WHERE ezhrny='admin' OR 1=1;,53,2,5,0,1,1
SELECT afjegs FROM wkdpnjekuc WHERE kiwraw='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT uanfhf FROM ozotbkotty WHERE lyyvls LIKE 'test%';,56,1,3,0,0,0
SELECT xvssrp FROM orjejrnelz WHERE roswkh='hacker@xyz.com' OR 'a'='a';,71,3,9,0,0,1
UPDATE ifnfniwmrq SET dppdvu='hacked' WHERE wlxzib='admin';,59,1,7,0,0,1
SELECT COUNT(*) FROM bhtvxapjyi WHERE ifijsm > 10;,50,1,3,0,0,0
SELECT xjgmhv FROM vzkroyjgmn WHERE yctlzu='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
DROP TABLE venjhezpvm;,22,1,1,0,0,1
"SELECT qmsucl, AVG(vxjmzq) FROM okakktefqe GROUP BY qmsucl;",59,1,3,0,0,0
SELECT * FROM xmsgajxtox WHERE ygqozt='admin' OR 1=1;,53,2,5,0,1,1
SELECT * FROM dxjmiqrtcr WHERE yftkfy BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT khetcf, AVG(upiuxp) FROM fhsxiwrstq GROUP BY khetcf;",59,1,3,0,0,0
SELECT * FROM coeuirpjsn WHERE yetbkw BETWEEN 100 AND 500;,58,2,1,0,1,0
UPDATE nkmfxzsthr SET fcmlxf='hacked' WHERE lgbjrr='admin';,59,1,7,0,0,1
SELECT tqxcgu FROM uhyejwdqhr WHERE ucqzxq LIKE 'test%';,56,1,3,0,0,0
"SELECT bdqygp, AVG(hzubds) FROM hsdeqviwhl GROUP BY bdqygp;",59,1,3,0,0,0
SELECT * FROM elbjdkrtwt WHERE fhumrq='admin' OR 1=1;,53,2,5,0,1,1
DROP TABLE fwfhfirpqr;,22,1,1,0,0,1
SELECT ltogpe FROM fgexoodsec WHERE muiioc LIKE 'test%';,56,1,3,0,0,0
"SELECT bjijlx, jswbhw FROM emfehlmsmi WHERE bjijlx='value';",59,1,4,0,0,0
SELECT COUNT(*) FROM mltaeqvkny WHERE qeemal > 10;,50,1,3,0,0,0
SELECT * FROM hzlibkieqi WHERE ceimjl BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT * FROM ivncslwufq WHERE jnokqg BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT * FROM ohhqtqfxgd WHERE vmjttr BETWEEN 100 AND 500;,58,2,1,0,1,0
DELETE FROM lsprviukhr WHERE gpnbsv=10 OR 1=1;,46,2,3,0,0,1
UPDATE cgcgptvyfs SET blqpco='hacked' WHERE nghyxw='admin';,59,1,7,0,0,1
"SELECT tkrrnq, vnkdtu FROM vyewstkfut WHERE tkrrnq='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
"SELECT tvwhql, zmtfvh FROM cigcqiivmz WHERE tvwhql='value';",59,1,4,0,0,0
SELECT * FROM ljsdjkhznq WHERE bfbzyq BETWEEN 100 AND 500;,58,2,1,0,1,0
"SELECT dnuije, ikrkao FROM hzqxpkxkfh WHERE dnuije='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
"SELECT jxhkql, pselet FROM qszxedspfs WHERE jxhkql='value';",59,1,4,0,0,0
SELECT * FROM blegmvhghp WHERE rlfswa BETWEEN 100 AND 500;,58,2,1,0,1,0
UPDATE reaclcalvl SET qjphio='hacked' WHERE jvgfsf='admin';,59,1,7,0,0,1
"SELECT dwweoe, xkpoot FROM vffrealoei WHERE dwweoe='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT * FROM xztwljkipy WHERE pgvmyf BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT * FROM mgsndbiaon WHERE jeasli BETWEEN 100 AND 500;,58,2,1,0,1,0
DELETE FROM eojalbxyld WHERE doaxxp=10 OR 1=1;,46,2,3,0,0,1
SELECT COUNT(*) FROM cwtluhfnmu WHERE jfxezl > 10;,50,1,3,0,0,0
"SELECT kapgsn, xoyfys FROM stmzkoqqfl WHERE kapgsn='value';",59,1,4,0,0,0
"SELECT kwtiku, iwzkpo FROM dsouvlpyix WHERE kwtiku='value';",59,1,4,0,0,0
SELECT * FROM gqamqgewrr WHERE hhsfjd BETWEEN 100 AND 500;,58,2,1,0,1,0
UPDATE zpnyyxoqsg SET jpdrvp='hacked' WHERE qseclx='admin';,59,1,7,0,0,1
"SELECT piwnni, AVG(fnwaku) FROM sxgkaspcup GROUP BY piwnni;",59,1,3,0,0,0
SELECT * FROM pcqbdgggef WHERE grueao BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT hpizjp FROM birwespzrl WHERE zlaqle='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT hgznsn FROM vhrrduwaej WHERE xxyulc LIKE 'test%';,56,1,3,0,0,0
DROP TABLE kgvdaxxykv;,22,1,1,0,0,1
"SELECT yeemuf, ymogmj FROM oyqiiwbepj WHERE yeemuf='value';",59,1,4,0,0,0
SELECT xlbpcs FROM opsvdjbtnv WHERE qhzoib='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
UPDATE zmbafvbxmy SET opkejk='hacked' WHERE rlrimv='admin';,59,1,7,0,0,1
UPDATE qajxyubihf SET jtiddr='hacked' WHERE qldvyi='admin';,59,1,7,1,0,1
SELECT trcwif FROM ymvhqrbgcz WHERE kztejq LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM yglddeuwth WHERE dczrcj BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT tccwax FROM tyvrkfkbkr WHERE iarruz LIKE 'test%';,56,1,3,0,0,0
SELECT * FROM dcakxgrwoj WHERE ijogmu BETWEEN 100 AND 500;,58,2,1,0,1,0
DELETE FROM luchkfqbcc WHERE sxtrma=10 OR 1=1;,46,2,3,0,0,1
SELECT COUNT(*) FROM xfvshllgly WHERE ulxjxy > 10;,50,1,3,0,0,0
"SELECT mrbrbb, mlqfcj FROM ldwgoosmtj WHERE mrbrbb='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT COUNT(*) FROM idkdgwdutp WHERE csibtu > 10;,50,1,3,1,0,0
SELECT fwdhrd FROM xmlhbyhsqm WHERE gwyyym='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT ecnacx FROM mhlsgzizdr WHERE flfmvj LIKE 'test%';,56,1,3,0,0,0
"SELECT wxiryt, asnbds FROM hqlxxagaba WHERE wxiryt='value';",59,1,4,0,0,0
DELETE FROM wlvjzyiiux WHERE nmdebm=10 OR 1=1;,46,2,3,0,0,1
SELECT * FROM pzlzxqkbpt WHERE zwwgrv='admin' OR 1=1;,53,2,5,0,1,1
DROP TABLE euwubhxvbq;,22,1,1,0,0,1
SELECT * FROM tkxmxafojg WHERE wkkeud BETWEEN 100 AND 500;,58,2,1,0,1,0
SELECT zpndas FROM hmvewayqhx WHERE lqytfz LIKE 'test%';,56,1,3,0,0,0
SELECT ylpsve FROM xhytmtvfpe WHERE yrbfeh='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
SELECT COUNT(*) FROM sgsvavnuqf WHERE rclmgz > 10;,50,1,3,0,0,0
DELETE FROM tqibaiefgx WHERE yfgqxd=10 OR 1=1;,46,2,3,0,0,1
SELECT exktyt FROM sdlspftjks WHERE askhth='hacker@xyz.com' OR 'a'='a';,71,2,9,0,0,1
"SELECT lkdehn, AVG(rkkday) FROM rdhwnihpxp GROUP BY lkdehn;",59,1,3,0,0,0
SELECT * FROM nogpuhsust WHERE bwnvss='admin' OR 1=1;,53,2,5,0,1,1
SELECT COUNT(*) FROM njcmrnviwr WHERE svbihe > 10;,50,1,3,0,0,0
"SELECT bzdbxn, AVG(lzhyts) FROM dhhskuboka GROUP BY bzdbxn;",59,1,3,0,0,0
UPDATE ihbouosibw SET rmzivp='hacked' WHERE hwwkjp='admin';,59,1,7,0,0,1
"SELECT ndvooq, vtjcbd FROM hgwzmezjwm WHERE ndvooq='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
SELECT COUNT(*) FROM tshcmizdgg WHERE wttuqf > 10;,50,1,3,0,0,0
SELECT * FROM yehlnsxsok WHERE nbqkdg='admin' OR 1=1;,53,2,5,0,1,1
"SELECT ovwqxe, xjvuzp FROM upbvunrmtv WHERE ovwqxe='value';",59,1,4,0,0,0
"SELECT mbpyxr, AVG(rmecgp) FROM nanpkuqaaa GROUP BY mbpyxr;",59,1,3,0,0,0
"SELECT tdaqec, pymdho FROM edbegiqlyg WHERE tdaqec='' UNION SELECT username, password FROM users;",97,4,4,1,0,1
DELETE FROM femurqcoxn WHERE bbzqff=10 OR 1=1;,46,2,3,0,0,1
