Query_ID,Query_String,Length,Special_Chars,Keyword_Count,Mutation_Count,Anomaly_Score,Label
40,SELECT * FROM users WHERE username='john_doe' AND password='1234';,119,9,4,2,0.9794,Safe
41,UPDATE accounts SET balance=999999 WHERE account_id=202; --,124,2,4,3,0.3989,Malicious
42,DELETE FROM logs WHERE timestamp < '2024-01-01';,68,8,4,1,0.3215,Safe
43,DROP TABLE users; --,54,2,1,2,0.4751,Malicious
44,DELETE FROM logs WHERE timestamp < '2024-01-01';,87,0,4,2,0.2358,Safe
45,DELETE FROM logs WHERE timestamp < '2024-01-01';,62,1,4,1,0.5931,Safe
46,SELECT * FROM users WHERE username='john_doe' AND password='1234';,88,4,1,1,0.9281,Safe
47,SELECT * FROM users WHERE username='' OR '1'='1'; --,87,10,2,3,0.377,Malicious
48,SELECT * FROM users WHERE username='' OR '1'='1'; --,78,10,3,1,0.5664,Malicious
49,SELECT COUNT(*) FROM employees WHERE department='HR';,111,6,3,0,0.6436,Safe
50,UPDATE accounts SET balance=5000 WHERE account_id=202;,131,2,5,1,0.5648,Safe
51,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",111,9,4,0,0.7313,Malicious
52,SELECT * FROM users WHERE username='john_doe' AND password='1234';,51,10,5,0,0.3305,Safe
53,SELECT * FROM users WHERE username='' OR '1'='1'; --,76,7,3,1,0.2604,Malicious
54,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,98,5,5,0,0.6931,Malicious
55,SELECT * FROM users WHERE username='' OR '1'='1'; --,120,7,1,3,0.6861,Malicious
56,SELECT * FROM users WHERE username='john_doe' AND password='1234';,34,9,3,0,0.9316,Safe
57,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",80,1,2,2,0.7265,Malicious
58,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,185,2,1,1,0.5792,Malicious
59,UPDATE accounts SET balance=999999 WHERE account_id=202; --,45,10,1,3,0.1404,Malicious
60,DELETE FROM logs WHERE timestamp < '2024-01-01';,184,5,4,0,0.9602,Safe
61,SELECT * FROM users WHERE username='' OR '1'='1'; --,196,3,1,1,0.799,Malicious
62,SELECT * FROM users WHERE username='john_doe' AND password='1234';,26,0,2,0,0.8435,Safe
63,SELECT COUNT(*) FROM employees WHERE department='HR';,180,8,3,1,0.9786,Safe
64,DROP TABLE users; --,139,2,3,1,0.7417,Malicious
65,SELECT * FROM users WHERE username='john_doe' AND password='1234';,120,1,1,2,0.3281,Safe
66,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",32,10,4,0,0.6132,Malicious
67,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",175,4,1,3,0.7998,Safe
68,DELETE FROM logs WHERE timestamp < '2024-01-01';,29,8,5,0,0.3909,Safe
69,SELECT * FROM users WHERE username='' OR '1'='1'; --,26,3,4,2,0.3932,Malicious
70,SELECT * FROM users WHERE username='john_doe' AND password='1234';,109,0,3,0,0.2137,Safe
71,DROP TABLE users; --,44,6,3,2,0.2939,Malicious
72,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",59,5,3,2,0.7928,Malicious
73,SELECT * FROM users WHERE username='' OR '1'='1'; --,23,10,1,3,0.9227,Malicious
74,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,162,0,3,3,0.6106,Malicious
75,SELECT * FROM users WHERE username='john_doe' AND password='1234';,149,0,4,3,0.0568,Safe
76,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",93,1,5,0,0.9337,Malicious
77,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",129,9,3,0,0.8564,Safe
78,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",176,3,2,0,0.3994,Safe
79,SELECT * FROM users WHERE username='' OR '1'='1'; --,69,5,3,2,0.1843,Malicious
80,SELECT COUNT(*) FROM employees WHERE department='HR';,69,2,2,3,0.1593,Safe
81,SELECT COUNT(*) FROM employees WHERE department='HR';,85,8,1,2,0.082,Safe
82,UPDATE accounts SET balance=999999 WHERE account_id=202; --,92,6,5,2,0.5518,Malicious
83,DROP TABLE users; --,197,10,4,0,0.9219,Malicious
84,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,151,4,4,1,0.8384,Malicious
85,SELECT COUNT(*) FROM employees WHERE department='HR';,115,10,5,1,0.6034,Safe
86,UPDATE accounts SET balance=999999 WHERE account_id=202; --,60,6,2,1,0.6365,Malicious
87,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",183,8,3,0,0.3563,Malicious
88,DROP TABLE users; --,67,8,5,2,0.1945,Malicious
89,DROP TABLE users; --,107,6,3,3,0.0897,Malicious
90,SELECT * FROM users WHERE username='' OR '1'='1'; --,163,5,2,3,0.3602,Malicious
91,DELETE FROM logs WHERE timestamp < '2024-01-01';,174,2,1,3,0.7038,Safe
92,UPDATE accounts SET balance=5000 WHERE account_id=202;,138,5,4,1,0.4695,Safe
93,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",129,0,2,1,0.1811,Safe
94,SELECT COUNT(*) FROM employees WHERE department='HR';,92,3,5,1,0.8181,Safe
95,DELETE FROM logs WHERE timestamp < '2024-01-01';,161,10,2,2,0.2629,Safe
96,DELETE FROM logs WHERE timestamp < '2024-01-01';,45,0,2,3,0.9967,Safe
97,DELETE FROM logs WHERE timestamp < '2024-01-01';,37,4,4,3,0.6336,Safe
98,SELECT * FROM users WHERE username='' OR '1'='1'; --,75,7,4,3,0.3898,Malicious
99,DELETE FROM logs WHERE timestamp < '2024-01-01';,27,2,5,1,0.4721,Safe
100,DELETE FROM logs WHERE timestamp < '2024-01-01';,164,10,1,1,0.6425,Safe
101,SELECT * FROM users WHERE username='john_doe' AND password='1234';,111,6,2,1,0.6773,Safe
102,SELECT * FROM users WHERE username='' OR '1'='1'; --,53,7,1,0,0.9925,Malicious
103,DELETE FROM logs WHERE timestamp < '2024-01-01';,196,9,3,0,0.3342,Safe
104,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",47,9,3,1,0.501,Safe
105,UPDATE accounts SET balance=5000 WHERE account_id=202;,165,10,1,2,0.6539,Safe
106,DROP TABLE users; --,94,3,4,1,0.0251,Malicious
107,SELECT COUNT(*) FROM employees WHERE department='HR';,162,0,2,1,0.8102,Safe
108,DROP TABLE users; --,50,3,5,1,0.8001,Malicious
109,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",42,1,5,0,0.6095,Safe
110,SELECT COUNT(*) FROM employees WHERE department='HR';,170,8,2,3,0.9765,Safe
111,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",95,7,5,0,0.0234,Malicious
112,UPDATE accounts SET balance=5000 WHERE account_id=202;,97,1,1,1,0.7947,Safe
113,DROP TABLE users; --,20,3,1,0,0.3434,Malicious
114,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",91,4,5,1,0.1533,Safe
115,DELETE FROM logs WHERE timestamp < '2024-01-01';,189,3,3,2,0.5428,Safe
116,SELECT * FROM users WHERE username='' OR '1'='1'; --,91,3,1,2,0.1722,Malicious
117,UPDATE accounts SET balance=5000 WHERE account_id=202;,86,9,5,0,0.2942,Safe
118,SELECT COUNT(*) FROM employees WHERE department='HR';,26,5,5,3,0.4448,Safe
119,DELETE FROM logs WHERE timestamp < '2024-01-01';,43,3,5,0,0.7344,Safe
120,SELECT * FROM users WHERE username='john_doe' AND password='1234';,152,2,4,0,0.7052,Safe
121,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,155,4,4,2,0.0366,Malicious
122,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",44,4,4,1,0.2871,Safe
123,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,168,4,4,3,0.956,Malicious
124,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",135,2,3,2,0.543,Safe
125,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",37,6,3,3,0.8412,Malicious
126,SELECT * FROM users WHERE username='john_doe' AND password='1234';,199,2,5,0,0.8818,Safe
127,SELECT COUNT(*) FROM employees WHERE department='HR';,180,1,2,2,0.0979,Safe
128,SELECT * FROM users WHERE username='' OR '1'='1'; --,105,7,4,3,0.1089,Malicious
129,UPDATE accounts SET balance=5000 WHERE account_id=202;,106,8,5,1,0.2591,Safe
130,DELETE FROM logs WHERE timestamp < '2024-01-01';,114,9,1,0,0.1778,Safe
131,SELECT COUNT(*) FROM employees WHERE department='HR';,35,3,2,2,0.8701,Safe
132,DELETE FROM logs WHERE timestamp < '2024-01-01';,73,0,5,3,0.8682,Safe
133,SELECT * FROM users WHERE username='' OR '1'='1'; --,170,9,1,3,0.3651,Malicious
134,UPDATE accounts SET balance=5000 WHERE account_id=202;,144,6,5,2,0.422,Safe
135,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",21,1,2,1,0.8401,Safe
136,DELETE FROM logs WHERE timestamp < '2024-01-01';,185,0,5,1,0.1068,Safe
137,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",101,3,1,3,0.3691,Safe
138,SELECT * FROM users WHERE username='' OR '1'='1'; --,113,5,4,3,0.4033,Malicious
139,DROP TABLE users; --,38,1,2,2,0.2565,Malicious
140,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,105,8,5,0,0.3245,Malicious
141,DELETE FROM logs WHERE timestamp < '2024-01-01';,181,10,3,2,0.5804,Safe
142,DELETE FROM logs WHERE timestamp < '2024-01-01';,162,10,1,0,0.7902,Safe
143,SELECT * FROM users WHERE username='john_doe' AND password='1234';,153,9,3,1,0.8265,Safe
144,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",97,0,1,3,0.0118,Safe
145,SELECT * FROM users WHERE username='' OR '1'='1'; --,117,8,2,3,0.7577,Malicious
146,SELECT * FROM users WHERE username='john_doe' AND password='1234';,177,3,1,3,0.8356,Safe
147,DELETE FROM logs WHERE timestamp < '2024-01-01';,123,10,2,1,0.4767,Safe
148,UPDATE accounts SET balance=5000 WHERE account_id=202;,160,9,2,2,0.4466,Safe
149,SELECT COUNT(*) FROM employees WHERE department='HR';,125,3,5,3,0.0016,Safe
150,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",90,6,4,0,0.6691,Safe
151,DELETE FROM logs WHERE timestamp < '2024-01-01';,163,6,1,3,0.5687,Safe
152,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,77,6,5,1,0.8151,Malicious
153,UPDATE accounts SET balance=999999 WHERE account_id=202; --,73,7,4,0,0.919,Malicious
154,DELETE FROM logs WHERE timestamp < '2024-01-01';,84,4,5,0,0.6916,Safe
155,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,141,4,5,3,0.3594,Malicious
156,SELECT * FROM users WHERE username='' OR '1'='1'; --,184,5,1,0,0.0048,Malicious
157,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",25,7,1,1,0.8568,Safe
158,UPDATE accounts SET balance=999999 WHERE account_id=202; --,151,8,2,3,0.3992,Malicious
159,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,28,5,5,0,0.7958,Malicious
160,DROP TABLE users; --,43,6,2,1,0.6216,Malicious
161,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",49,7,5,2,0.4728,Safe
162,SELECT COUNT(*) FROM employees WHERE department='HR';,131,7,2,0,0.9531,Safe
163,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",42,10,2,2,0.0004,Malicious
164,DELETE FROM logs WHERE timestamp < '2024-01-01';,71,2,4,1,0.2464,Safe
165,UPDATE accounts SET balance=999999 WHERE account_id=202; --,95,5,2,1,0.6328,Malicious
166,UPDATE accounts SET balance=5000 WHERE account_id=202;,161,4,2,0,0.0668,Safe
167,UPDATE accounts SET balance=5000 WHERE account_id=202;,27,7,2,2,0.3227,Safe
168,UPDATE accounts SET balance=5000 WHERE account_id=202;,157,10,4,1,0.2935,Safe
169,DELETE FROM logs WHERE timestamp < '2024-01-01';,31,3,2,2,0.528,Safe
170,SELECT COUNT(*) FROM employees WHERE department='HR';,82,8,3,3,0.8941,Safe
171,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",76,4,3,0,0.0821,Safe
172,UPDATE accounts SET balance=5000 WHERE account_id=202;,43,9,3,3,0.1949,Safe
173,SELECT * FROM users WHERE username='john_doe' AND password='1234';,97,2,1,3,0.9297,Safe
174,DROP TABLE users; --,24,1,4,0,0.1194,Malicious
175,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",178,7,2,1,0.1155,Safe
176,SELECT * FROM users WHERE username='john_doe' AND password='1234';,183,10,3,2,0.1742,Safe
177,DROP TABLE users; --,145,5,1,1,0.2937,Malicious
178,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",44,3,2,2,0.7076,Safe
179,UPDATE accounts SET balance=999999 WHERE account_id=202; --,129,3,4,0,0.1704,Malicious
180,DROP TABLE users; --,93,10,3,2,0.8832,Malicious
181,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",116,9,5,2,0.2292,Safe
182,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",131,7,3,3,0.7947,Malicious
183,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",86,6,2,0,0.9917,Safe
184,SELECT COUNT(*) FROM employees WHERE department='HR';,52,7,1,1,0.4095,Safe
185,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,161,9,1,0,0.6959,Malicious
186,UPDATE accounts SET balance=5000 WHERE account_id=202;,197,4,5,3,0.8867,Safe
187,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",170,8,3,2,0.4413,Safe
188,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",157,7,3,0,0.8918,Safe
189,UPDATE accounts SET balance=5000 WHERE account_id=202;,142,8,4,2,0.3649,Safe
190,UPDATE accounts SET balance=999999 WHERE account_id=202; --,185,6,1,3,0.9341,Malicious
191,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",87,5,2,0,0.1121,Safe
192,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",140,4,3,2,0.5137,Safe
193,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",109,2,4,3,0.0357,Malicious
194,SELECT COUNT(*) FROM employees WHERE department='HR';,135,1,2,2,0.8202,Safe
195,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",135,9,3,1,0.8135,Safe
196,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",65,3,4,2,0.4835,Malicious
197,SELECT COUNT(*) FROM employees WHERE department='HR';,193,7,5,3,0.7926,Safe
198,SELECT * FROM users WHERE username='john_doe' AND password='1234';,192,7,5,3,0.7536,Safe
199,UPDATE accounts SET balance=999999 WHERE account_id=202; --,82,1,3,0,0.0133,Malicious
200,UPDATE accounts SET balance=5000 WHERE account_id=202;,75,9,4,1,0.432,Safe
201,SELECT * FROM users WHERE username='john_doe' AND password='1234';,83,3,5,1,0.8781,Safe
202,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",54,6,3,1,0.1955,Safe
203,SELECT * FROM users WHERE username='john_doe' AND password='1234';,81,9,2,1,0.6798,Safe
204,SELECT COUNT(*) FROM employees WHERE department='HR';,69,10,3,0,0.5061,Safe
205,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",26,5,1,2,0.8404,Safe
206,SELECT * FROM users WHERE username='john_doe' AND password='1234';,93,0,1,1,0.8938,Safe
207,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",193,8,4,1,0.5941,Safe
208,UPDATE accounts SET balance=999999 WHERE account_id=202; --,43,0,1,1,0.6877,Malicious
209,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",168,9,1,0,0.2348,Safe
210,SELECT * FROM users WHERE username='' OR '1'='1'; --,175,0,2,3,0.6114,Malicious
211,SELECT * FROM users WHERE username='' OR '1'='1'; --,111,9,4,0,0.8823,Malicious
212,SELECT * FROM users WHERE username='john_doe' AND password='1234';,171,6,5,3,0.0418,Safe
213,UPDATE accounts SET balance=999999 WHERE account_id=202; --,197,0,3,2,0.3406,Malicious
214,DELETE FROM logs WHERE timestamp < '2024-01-01';,53,6,1,2,0.954,Safe
215,SELECT COUNT(*) FROM employees WHERE department='HR';,182,7,4,2,0.4138,Safe
216,UPDATE accounts SET balance=5000 WHERE account_id=202;,64,4,2,2,0.4388,Safe
217,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",23,1,1,2,0.4964,Malicious
218,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",113,6,4,1,0.5295,Safe
219,DROP TABLE users; --,186,6,5,2,0.4133,Malicious
220,SELECT * FROM users WHERE username='john_doe' AND password='1234';,32,0,3,3,0.7763,Safe
221,DROP TABLE users; --,169,0,4,0,0.6306,Malicious
222,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,79,1,2,2,0.1057,Malicious
223,UPDATE accounts SET balance=5000 WHERE account_id=202;,168,10,4,1,0.9613,Safe
224,DELETE FROM logs WHERE timestamp < '2024-01-01';,112,2,4,2,0.8759,Safe
225,DROP TABLE users; --,194,2,2,2,0.7655,Malicious
226,UPDATE accounts SET balance=5000 WHERE account_id=202;,159,6,3,2,0.9943,Safe
227,SELECT COUNT(*) FROM employees WHERE department='HR';,187,8,4,2,0.7084,Safe
228,SELECT * FROM users WHERE username='john_doe' AND password='1234';,95,2,3,3,0.1219,Safe
229,DROP TABLE users; --,143,10,4,0,0.3107,Malicious
230,DROP TABLE users; --,164,4,4,2,0.6366,Malicious
231,DROP TABLE users; --,63,3,3,0,0.0036,Malicious
232,DELETE FROM logs WHERE timestamp < '2024-01-01';,30,6,2,3,0.5174,Safe
233,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",148,6,5,3,0.5413,Malicious
234,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",194,1,3,3,0.8954,Malicious
235,DROP TABLE users; --,120,5,5,2,0.5288,Malicious
236,DROP TABLE users; --,159,4,1,3,0.0301,Malicious
237,UPDATE accounts SET balance=5000 WHERE account_id=202;,125,9,3,2,0.8522,Safe
238,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,52,7,3,1,0.7989,Malicious
239,SELECT * FROM users WHERE username='' OR '1'='1'; --,135,5,2,2,0.7344,Malicious
240,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",66,1,2,2,0.2363,Safe
241,UPDATE accounts SET balance=999999 WHERE account_id=202; --,189,7,3,2,0.7603,Malicious
242,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",110,7,4,1,0.5975,Safe
243,UPDATE accounts SET balance=5000 WHERE account_id=202;,141,8,3,3,0.8402,Safe
244,SELECT COUNT(*) FROM employees WHERE department='HR';,52,5,5,2,0.1959,Safe
245,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",183,1,4,2,0.6917,Malicious
246,UPDATE accounts SET balance=999999 WHERE account_id=202; --,35,4,5,1,0.0033,Malicious
247,SELECT * FROM users WHERE username='john_doe' AND password='1234';,85,1,5,3,0.7724,Safe
248,SELECT COUNT(*) FROM employees WHERE department='HR';,93,3,1,3,0.8592,Safe
249,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",52,10,3,1,0.143,Safe
250,SELECT COUNT(*) FROM employees WHERE department='HR';,79,5,4,2,0.7261,Safe
251,DELETE FROM logs WHERE timestamp < '2024-01-01';,132,0,5,2,0.0576,Safe
252,UPDATE accounts SET balance=999999 WHERE account_id=202; --,154,10,5,2,0.6789,Malicious
253,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,109,3,5,0,0.0719,Malicious
254,UPDATE accounts SET balance=5000 WHERE account_id=202;,80,9,4,3,0.2273,Safe
255,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,161,9,1,2,0.3417,Malicious
256,SELECT COUNT(*) FROM employees WHERE department='HR';,143,0,4,1,0.2314,Safe
257,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,143,10,3,1,0.8781,Malicious
258,DELETE FROM logs WHERE timestamp < '2024-01-01';,167,8,5,3,0.5123,Safe
259,UPDATE accounts SET balance=5000 WHERE account_id=202;,47,3,4,2,0.676,Safe
260,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",21,8,4,2,0.5205,Malicious
261,UPDATE accounts SET balance=999999 WHERE account_id=202; --,172,4,1,0,0.7285,Malicious
262,UPDATE accounts SET balance=5000 WHERE account_id=202;,161,5,5,2,0.7009,Safe
263,DROP TABLE users; --,145,3,5,0,0.309,Malicious
264,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",199,10,1,0,0.5943,Safe
265,DELETE FROM logs WHERE timestamp < '2024-01-01';,148,2,1,0,0.1299,Safe
266,DROP TABLE users; --,75,7,1,1,0.499,Malicious
267,SELECT COUNT(*) FROM employees WHERE department='HR';,87,6,3,3,0.7568,Safe
268,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",45,10,2,2,0.2532,Safe
269,UPDATE accounts SET balance=5000 WHERE account_id=202;,160,3,5,0,0.5701,Safe
270,SELECT COUNT(*) FROM employees WHERE department='HR';,113,3,3,1,0.0719,Safe
271,DELETE FROM logs WHERE timestamp < '2024-01-01';,135,10,2,0,0.0407,Safe
272,SELECT * FROM users WHERE username='john_doe' AND password='1234';,98,8,5,3,0.4754,Safe
273,SELECT * FROM users WHERE username='john_doe' AND password='1234';,162,2,2,3,0.1001,Safe
274,DELETE FROM logs WHERE timestamp < '2024-01-01';,46,8,1,3,0.8632,Safe
275,DROP TABLE users; --,89,3,2,3,0.7997,Malicious
276,DELETE FROM logs WHERE timestamp < '2024-01-01';,164,2,3,2,0.7666,Safe
277,SELECT * FROM admin WHERE username='admin' AND password='' OR '1'='1'; --,139,6,2,3,0.4732,Malicious
278,UPDATE accounts SET balance=5000 WHERE account_id=202;,129,7,3,1,0.7784,Safe
279,DROP TABLE users; --,56,2,3,3,0.2993,Malicious
280,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2);",156,3,2,1,0.1105,Safe
281,UPDATE accounts SET balance=999999 WHERE account_id=202; --,45,10,3,2,0.6845,Malicious
282,SELECT * FROM users WHERE username='john_doe' AND password='1234';,60,5,5,1,0.6545,Safe
283,SELECT COUNT(*) FROM employees WHERE department='HR';,156,5,1,3,0.0532,Safe
284,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",22,4,4,1,0.4662,Malicious
285,"INSERT INTO orders (customer_id, product_id, quantity) VALUES (101, 5, 2); DELETE FROM orders; --",111,4,3,3,0.7468,Malicious
